datetime,1m,5m,15m,put,rut,pst,rst,pit,rit,rnt
2023-05-11 00:00:01,0.00,0.01,0.05,0,5658795,0,3297120,99,1135211956,68364
2023-05-11 00:05:02,0.01,0.02,0.05,0,5659327,0,3297653,99,1135300430,68364
2023-05-11 00:10:01,0.00,0.01,0.05,0,5659784,0,3298119,99,1135389091,68364
2023-05-11 00:15:01,0.00,0.02,0.05,0,5660450,0,3298655,99,1135477443,68364
2023-05-11 00:20:02,0.08,0.03,0.05,0,5660903,0,3299109,99,1135566115,68364
2023-05-11 00:25:02,0.00,0.01,0.05,0,5661419,0,3299604,99,1135654650,68364
2023-05-11 00:30:02,0.07,0.04,0.05,0,5661892,1,3300059,97,1135743316,68364
2023-05-11 00:35:02,0.00,0.01,0.05,1,5662418,1,3300587,97,1135831819,68364
2023-05-11 00:40:01,0.19,0.06,0.06,0,5662867,1,3301032,97,1135920514,68365
2023-05-11 00:45:02,0.07,0.06,0.05,0,5663304,0,3301422,99,1136009286,68365
2023-05-11 00:50:02,0.16,0.07,0.06,0,5663700,0,3301801,99,1136098116,68365
2023-05-11 00:55:02,0.00,0.03,0.05,0,5664181,0,3302300,99,1136186655,68365
2023-05-11 01:00:01,0.00,0.03,0.05,0,5664642,0,3302781,99,1136275287,68365
2023-05-11 01:05:02,0.00,0.01,0.05,0,5665328,0,3303367,99,1136363528,68365
2023-05-11 01:10:01,0.01,0.05,0.05,0,5665802,0,3303843,99,1136452201,68365
2023-05-11 01:15:01,0.00,0.05,0.05,0,5666290,0,3304329,99,1136540785,68365
2023-05-11 01:20:02,0.00,0.02,0.05,0,5666766,0,3304805,99,1136629427,68365
2023-05-11 01:25:02,0.01,0.03,0.05,0,5667281,0,3305311,99,1136718000,68365
2023-05-11 01:30:01,0.01,0.02,0.05,0,5667764,0,3305804,99,1136806599,68365
2023-05-11 01:35:01,0.00,0.01,0.05,0,5668274,0,3306329,99,1136895125,68365
2023-05-11 01:40:02,0.00,0.01,0.05,0,5668818,0,3306906,98,1136983568,68365
2023-05-11 01:45:02,0.04,0.03,0.05,0,5669332,0,3307438,99,1137072047,68365
2023-05-11 01:50:02,0.04,0.03,0.05,0,5669812,0,3307939,98,1137160661,68365
2023-05-11 01:55:01,0.00,0.01,0.05,0,5670325,0,3308451,98,1137249139,68365
2023-05-11 02:00:02,0.00,0.01,0.05,1,5670794,1,3308940,97,1137337826,68365
2023-05-11 02:05:02,0.16,0.05,0.06,1,5671326,1,3309518,97,1137426340,68365
