datetime,Physical memory,Virtual memory,Memory buffers,Cached memory,Shared memory,Swap space,/,/dev/shm,/run,/sys/fs/cgroup,/boot,/run/user/42,/run/user/1035,/run/media/admin/CentOS 7 x86_64,/run/user/1028
2023-05-09 18:15:01,3660348,4333972,56,1202276,203652,673624,14593708,0,51534,0,50651,1,7,4245165,0
2023-05-09 18:20:01,3663356,4336968,56,1211032,211844,673612,14593730,0,53582,0,50651,1,7,4245165,0
2023-05-09 18:25:01,3668460,4342072,56,1211772,211844,673612,14593761,0,53582,0,50651,1,7,4245165,0
2023-05-09 18:30:01,3656100,4327680,56,1206284,205652,671580,14593737,0,51526,0,50651,1,7,4245165,0
2023-05-09 18:35:01,3650480,4322060,56,1207200,205652,671580,14593790,0,53574,0,50651,1,7,4245165,0
2023-05-09 18:40:01,3631252,4302828,56,1217288,213844,671576,14593744,0,53574,0,50651,1,7,4245165,0
2023-05-09 18:45:02,3602372,4273944,56,1210456,205652,671572,14593717,0,51526,0,50651,1,7,4245165,0
2023-05-09 18:50:01,3618136,4289700,56,1219060,205708,671564,14593714,0,51540,0,50651,1,7,4245165,0
2023-05-09 18:55:01,3630180,4301744,56,1227892,213900,671564,14593717,0,53588,0,50651,1,7,4245165,0
2023-05-09 19:00:02,3726064,4397624,56,1323128,222092,671560,14593732,0,55636,0,50651,1,7,4245165,0
2023-05-09 19:05:01,3746452,4418012,56,1327108,205764,671560,14593720,0,51554,0,50651,1,7,4245165,0
2023-05-09 19:10:01,3806648,4466176,56,1438732,204980,659528,14593820,0,51553,0,50651,1,7,4245165,0
2023-05-09 19:15:01,3640352,4304544,56,1266828,209420,664192,14593848,0,53587,0,50651,1,7,4245165,0
2023-05-09 19:20:01,3681792,4345864,56,1286852,217568,664072,14593857,0,55622,0,50651,1,7,4245165,0
2023-05-09 19:25:01,3755288,4415652,56,1324424,204892,660364,14593719,0,51526,0,50651,1,7,4245165,0
2023-05-09 19:30:02,3768356,4428712,56,1348980,213080,660356,14593818,0,53573,0,50651,1,7,4245165,0
2023-05-09 19:35:01,3758868,4419224,56,1349624,213024,660356,14593711,0,53559,0,50651,1,7,4245165,
2023-05-09 19:40:01,3719672,4379972,56,1343568,204880,660300,14593831,0,51524,0,50651,1,7,4245165,0
2023-05-09 19:45:01,3720308,4380604,56,1344232,204880,660296,14593715,0,51511,0,50651,1,7,4245165,
2023-05-09 19:50:01,3728600,4388896,56,1353084,213072,660296,14593719,0,53559,0,50651,1,7,4245165,
2023-05-09 19:55:01,3729684,4389976,56,1353740,213072,660292,14597877,0,53559,0,50651,1,7,4245165,
2023-05-09 20:00:01,3722368,4381808,56,1347096,205732,659440,14597877,0,51511,0,50651,1,7,4245165,
2023-05-09 20:05:02,3747316,4406756,56,1356692,213980,659440,14597874,0,53573,0,50651,1,7,4245165,0
2023-05-09 20:10:01,3748400,4407836,56,1357224,213980,659436,14597891,0,53573,0,50651,1,7,4245165,0
2023-05-09 20:15:02,3681964,4343436,56,1309288,220160,661472,14597881,0,55607,0,50651,1,7,4245165,
2023-05-09 20:20:01,3670076,4329596,56,1298236,205728,659520,14597946,0,51511,0,50651,1,7,4245165,
2023-05-09 20:25:01,3690320,4349840,56,1307040,213920,659520,14597885,0,53559,0,50651,1,7,4245165,
2023-05-09 20:30:01,3690644,4350160,56,1307796,213920,659516,14597905,0,53559,0,50651,1,7,4245165,
2023-05-09 20:35:01,3683716,4343232,56,1300312,205728,659516,14597887,0,51511,0,50651,1,7,4245165,
2023-05-09 20:40:01,3683700,4343212,56,1301004,205728,659512,14597905,0,51511,0,50651,1,7,4245165,
