datetime,in,out
2023-05-13 00:00:06,4717519391,4221986197
2023-05-13 00:05:04,4718155230,4222580786
2023-05-13 00:10:06,4718770553,4223104836
2023-05-13 00:15:04,4719428607,4223731139
2023-05-13 00:20:06,4720010280,4224268333
2023-05-13 00:25:05,4720643826,4224857286
2023-05-13 00:30:05,4721201578,4225369301
2023-05-13 00:35:04,4721864764,4225991891
2023-05-13 00:40:06,4722393999,4226493307
2023-05-13 00:45:04,4723047969,4227118149
2023-05-13 00:50:06,4723609924,4227645995
2023-05-13 00:55:05,4724249934,4228268344
2023-05-13 01:00:06,4724763936,4228757091
2023-05-13 01:05:04,4725246556,4229212789
2023-05-13 01:10:06,4725784945,4229725285
2023-05-13 01:15:04,4726498314,4230350124
2023-05-13 01:20:06,4727079524,4230945621
2023-05-13 01:25:05,4727702730,4231569077
2023-05-13 01:30:05,4728238628,4232067709
2023-05-13 01:35:04,4728890655,4232723346
2023-05-13 01:40:06,4729441329,4233278400
2023-05-13 01:45:04,4730082298,4233904534
2023-05-13 01:50:06,4730760309,4234556384
2023-05-13 01:55:05,4731407851,4235181788
2023-05-13 02:00:05,4731936117,4235689342
2023-05-13 02:05:04,4732589126,4236319920
2023-05-13 02:10:06,4733216177,4236849694
2023-05-13 02:15:04,4733772592,4237381846
2023-05-13 02:20:06,4734269411,4237851472
2023-05-13 02:25:04,4734885730,4238438321
2023-05-13 02:30:06,4735350011,4238874498
2023-05-13 02:35:04,4735801883,4239290883
2023-05-13 02:40:06,4736377317,4239833238
2023-05-13 02:45:05,4736980610,4240416180
2023-05-13 02:50:06,4737715721,4241118141
2023-05-13 02:55:04,4738313744,4241696232
2023-05-13 03:00:06,4738858757,4242224081
2023-05-13 03:05:05,4739471267,4242808110
2023-05-13 03:10:05,4740006272,4243327312
2023-05-13 03:15:05,4740730187,4243971747
2023-05-13 03:20:05,4741274719,4244481804
2023-05-13 03:25:04,4741920442,4245105299
2023-05-13 03:30:06,4742442067,4245600629
2023-05-13 03:35:05,4743092636,4246232575
2023-05-13 03:40:05,4743559620,4246672126
2023-05-13 03:45:04,4744138511,4247234032
2023-05-13 03:50:06,4744827269,4247893672
2023-05-13 03:55:04,4745460936,4248499534
2023-05-13 04:00:06,4745826015,4248827248
2023-05-13 04:05:04,4746458006,4249416650
2023-05-13 04:10:06,4747029512,4249963129
2023-05-13 04:15:05,4747766394,4250636041
2023-05-13 04:20:06,4748301056,4251145446
2023-05-13 04:25:04,4748905979,4251736221
2023-05-13 04:30:06,4749461742,4252267439
2023-05-13 04:35:04,4750089033,4252863500
2023-05-13 04:40:06,4750649116,4253399731
2023-05-13 04:45:05,4751263793,4253997035
2023-05-13 04:50:05,4751937865,4254652609
2023-05-13 04:55:06,4752594732,4255274597
2023-05-13 05:00:06,4753134666,4255782881
2023-05-13 05:05:04,4753725128,4256294130
2023-05-13 05:10:06,4754243585,4256791931
2023-05-13 05:15:04,4754887963,4257417351
2023-05-13 05:20:06,4755421798,4257923315
2023-05-13 05:25:04,4755951810,4258425621
2023-05-13 05:30:06,4756417571,4258855841
2023-05-13 05:35:05,4757075095,4259479534
2023-05-13 05:40:06,4757618428,4259997473
2023-05-13 05:45:05,4758360352,4260648041
2023-05-13 05:50:05,4759027894,4261286786
2023-05-13 05:55:04,4759644197,4261847610
2023-05-13 06:00:06,4760213525,4262368665
2023-05-13 06:05:04,4765376369,4266781951
2023-05-13 06:10:06,4766090904,4267927126
2023-05-13 06:15:05,4766710445,4268531032
2023-05-13 06:20:06,4767231832,4269024268
2023-05-13 06:25:05,4767812791,4269580762
2023-05-13 06:30:06,4768223824,4270046741
2023-05-13 06:35:04,4768837862,4270557606
2023-05-13 06:40:06,4769385898,4271079842
2023-05-13 06:45:04,4769980597,4271648034
2023-05-13 06:50:06,4770651245,4272284179
2023-05-13 06:55:04,4771142183,4272744335
2023-05-13 07:00:05,4771622200,4273193120
2023-05-13 07:05:05,4772254827,4273804245
2023-05-13 07:10:05,4772851027,4274316401
2023-05-13 07:15:04,4773477871,4274921116
2023-05-13 07:20:06,4773999021,4275408043
2023-05-13 07:25:05,4774632634,4276013365
2023-05-13 07:30:06,4775161678,4276507170
2023-05-13 07:35:05,4775788540,4277110888
2023-05-13 07:40:06,4776312428,4277602694
2023-05-13 07:45:05,4776898290,4278168332
2023-05-13 07:50:05,4777599928,4278853957
2023-05-13 07:55:04,4778143389,4279364050
2023-05-13 08:00:06,4778631569,4279816695
2023-05-13 08:05:04,4779242314,4280412702
2023-05-13 08:10:06,4779864776,4280953441
2023-05-13 08:15:04,4780468850,4281536643
2023-05-13 08:20:06,4780975354,4282010507
2023-05-13 08:25:04,4781425201,4282440827
2023-05-13 08:30:06,4781933072,4282927464
2023-05-13 08:35:05,4782567904,4283542334
2023-05-13 08:40:05,4783087086,4284034553
2023-05-13 08:45:05,4783711055,4284639885
2023-05-13 08:50:05,4784382939,4285297365
2023-05-13 08:55:04,4785029009,4285909108
2023-05-13 09:00:06,4785568152,4286396597
2023-05-13 09:05:04,4786207921,4287078811
2023-05-13 09:10:06,4841476986,4290713952
2023-05-13 09:15:04,4878694272,4292130687
2023-05-13 09:20:06,4903737730,4293188695
2023-05-13 09:25:05,4946985372,4294602405
2023-05-13 09:30:06,5002492750,4296492553
2023-05-13 09:35:04,5021365864,4297534112
2023-05-13 09:40:06,5021871784,4298022032
2023-05-13 09:45:04,5022508847,4298643093
2023-05-13 09:50:06,5023150963,4299268276
2023-05-13 09:55:04,5023637026,4299716620
