datetime,in,out
2023-05-11 00:00:04,84858,6149
2023-05-11 00:05:04,84858,6149
2023-05-11 00:10:04,84858,6149
2023-05-11 00:15:03,84858,6149
2023-05-11 00:20:04,84858,6149
2023-05-11 00:25:04,84858,6149
2023-05-11 00:30:04,84858,6149
2023-05-11 00:35:04,84858,6149
2023-05-11 00:40:04,84858,6149
2023-05-11 00:45:04,84858,6149
2023-05-11 00:50:04,84858,6149
2023-05-11 00:55:04,84858,6149
2023-05-11 01:00:04,84858,6149
2023-05-11 01:05:04,84858,6149
2023-05-11 01:10:04,84858,6149
2023-05-11 01:15:03,84858,6149
2023-05-11 01:20:04,84858,6149
2023-05-11 01:25:04,84858,6149
2023-05-11 01:30:04,84858,6149
2023-05-11 01:35:03,84858,6149
2023-05-11 01:40:04,84858,6149
2023-05-11 01:45:03,84858,6149
2023-05-11 01:50:04,84858,6149
2023-05-11 01:55:03,84858,6149
2023-05-11 02:00:04,84858,6149
2023-05-11 02:05:04,84858,6149
2023-05-11 02:10:04,84858,6149
2023-05-11 02:15:03,84858,6149
2023-05-11 02:20:04,84858,6149
2023-05-11 02:25:04,84858,6149
2023-05-11 02:30:04,84858,6149
2023-05-11 02:35:03,84858,6149
2023-05-11 02:40:04,84858,6149
2023-05-11 02:45:04,84858,6149
2023-05-11 02:50:04,84858,6149
2023-05-11 02:55:03,84858,6149
2023-05-11 03:00:04,84858,6149
2023-05-11 03:05:04,84858,6149
2023-05-11 03:10:03,84858,6149
2023-05-11 03:15:04,84858,6149
2023-05-11 03:20:05,84858,6149
2023-05-11 03:25:03,84858,6149
2023-05-11 03:30:04,84858,6149
2023-05-11 03:35:03,84858,6149
2023-05-11 03:40:04,84858,6149
2023-05-11 03:45:03,84858,6149
2023-05-11 03:50:04,84858,6149
2023-05-11 03:55:04,84858,6149
2023-05-11 04:00:04,84858,6149
2023-05-11 04:05:04,84858,6149
2023-05-11 04:10:04,84858,6149
2023-05-11 04:15:03,84858,6149
