datetime,in,out
2023-05-20 00:00:05,96343,16366
2023-05-20 00:05:04,96343,16366
2023-05-20 00:10:05,96343,16366
2023-05-20 00:15:04,96343,16366
2023-05-20 00:20:05,96343,16366
2023-05-20 00:25:04,96343,16366
2023-05-20 00:30:05,96343,16366
2023-05-20 00:35:04,96343,16366
2023-05-20 00:40:05,96343,16366
2023-05-20 00:45:05,96343,16366
2023-05-20 00:50:05,96343,16366
2023-05-20 00:55:04,96343,16366
2023-05-20 01:00:05,96343,16366
2023-05-20 01:05:04,96343,16366
2023-05-20 01:10:04,96343,16366
2023-05-20 01:15:04,96343,16366
2023-05-20 01:20:04,96343,16366
2023-05-20 01:25:04,96343,16366
2023-05-20 01:30:05,96343,16366
2023-05-20 01:35:04,96343,16366
2023-05-20 01:40:04,96343,16366
2023-05-20 01:45:04,96343,16366
2023-05-20 01:50:05,96343,16366
2023-05-20 01:55:04,96343,16366
2023-05-20 02:00:04,96343,16366
2023-05-20 02:05:04,96343,16366
2023-05-20 02:10:05,96343,16366
2023-05-20 02:15:04,96343,16366
2023-05-20 02:20:05,96343,16366
2023-05-20 02:25:03,96343,16366
2023-05-20 02:30:04,96343,16366
2023-05-20 02:35:04,96343,16366
2023-05-20 02:40:05,96343,16366
2023-05-20 02:45:04,96343,16366
2023-05-20 02:50:05,96343,16366
2023-05-20 02:55:04,96343,16366
2023-05-20 03:00:05,96343,16366
2023-05-20 03:05:04,96343,16366
2023-05-20 03:10:05,96343,16366
2023-05-20 03:15:05,96343,16366
2023-05-20 03:20:05,96343,16366
2023-05-20 03:25:04,96343,16366
2023-05-20 03:30:05,96343,16366
2023-05-20 03:35:04,96343,16366
2023-05-20 03:40:05,96343,16366
2023-05-20 03:45:04,96343,16366
2023-05-20 03:50:05,96343,16366
2023-05-20 03:55:04,96343,16366
2023-05-20 04:00:05,96343,16366
2023-05-20 04:05:04,96343,16366
2023-05-20 04:10:04,96343,16366
2023-05-20 04:15:04,96343,16366
2023-05-20 04:20:05,96343,16366
2023-05-20 04:25:04,96343,16366
2023-05-20 04:30:05,96343,16366
2023-05-20 04:35:04,96343,16366
2023-05-20 04:40:05,96343,16366
2023-05-20 04:45:04,96343,16366
2023-05-20 04:50:05,96343,16366
2023-05-20 04:55:04,96343,16366
2023-05-20 05:00:04,96343,16366
2023-05-20 05:05:04,96343,16366
2023-05-20 05:10:05,96343,16366
2023-05-20 05:15:04,96343,16366
2023-05-20 05:20:04,96343,16366
2023-05-20 05:25:05,96343,16366
2023-05-20 05:30:05,96343,16366
2023-05-20 05:35:04,96343,16366
2023-05-20 05:40:05,96343,16366
2023-05-20 05:45:04,96343,16366
2023-05-20 05:50:05,96343,16366
2023-05-20 05:55:04,96343,16366
2023-05-20 06:00:05,96343,16366
2023-05-20 06:05:05,96343,16366
2023-05-20 06:10:05,96343,16366
2023-05-20 06:15:04,96343,16366
2023-05-20 06:20:05,96343,16366
2023-05-20 06:25:04,96343,16366
2023-05-20 06:30:05,96343,16366
2023-05-20 06:35:04,96343,16366
2023-05-20 06:40:05,96343,16366
2023-05-20 06:45:04,96343,16366
2023-05-20 06:50:04,96343,16366
2023-05-20 06:55:04,96343,16366
2023-05-20 07:00:05,96343,16366
2023-05-20 07:05:04,96343,16366
2023-05-20 07:10:05,96343,16366
2023-05-20 07:15:04,96343,16366
2023-05-20 07:20:04,96343,16366
2023-05-20 07:25:04,96343,16366
2023-05-20 07:30:05,96343,16366
2023-05-20 07:35:04,96343,16366
2023-05-20 07:40:04,96343,16366
2023-05-20 07:45:04,96343,16366
2023-05-20 07:50:04,96343,16366
2023-05-20 07:55:04,96343,16366
2023-05-20 08:00:05,96343,16366
2023-05-20 08:05:04,96343,16366
2023-05-20 08:10:05,96343,16366
2023-05-20 08:15:04,96343,16366
2023-05-20 08:20:05,96343,16366
2023-05-20 08:25:04,96343,16366
2023-05-20 08:30:05,96343,16366
2023-05-20 08:35:04,96343,16366
2023-05-20 08:40:05,96343,16366
2023-05-20 08:45:04,96343,16366
2023-05-20 08:50:05,96343,16366
2023-05-20 08:55:04,96343,16366
2023-05-20 09:00:04,96343,16366
2023-05-20 09:05:04,96343,16366
2023-05-20 09:10:04,96343,16366
2023-05-20 09:15:04,96343,16366
2023-05-20 09:20:05,96343,16366
2023-05-20 09:25:04,96343,16366
2023-05-20 09:30:05,96343,16366
2023-05-20 09:35:04,96343,16366
2023-05-20 09:40:05,96343,16366
2023-05-20 09:45:04,96343,16366
2023-05-20 09:50:05,96343,16366
2023-05-20 09:55:04,96343,16366
2023-05-20 10:00:05,96343,16366
2023-05-20 10:05:04,96343,16366
2023-05-20 10:10:04,96343,16366
2023-05-20 10:15:04,96343,16366
2023-05-20 10:20:05,96343,16366
2023-05-20 10:25:04,96343,16366
2023-05-20 10:30:05,96343,16366
2023-05-20 10:35:04,96343,16366
2023-05-20 10:40:05,96343,16366
2023-05-20 10:45:04,96343,16366
2023-05-20 10:50:04,96343,16366
2023-05-20 10:55:04,96343,16366
2023-05-20 11:00:05,96343,16366
2023-05-20 11:05:04,96343,16366
2023-05-20 11:10:05,96343,16366
2023-05-20 11:15:04,96343,16366
2023-05-20 11:20:05,96343,16366
2023-05-20 11:25:05,96343,16366
2023-05-20 11:30:05,96343,16366
2023-05-20 11:35:04,96343,16366
2023-05-20 11:40:05,96343,16366
2023-05-20 11:45:04,96343,16366
2023-05-20 11:50:04,96343,16366
2023-05-20 11:55:04,96343,16366
2023-05-20 12:00:05,96343,16366
2023-05-20 12:05:04,96343,16366
2023-05-20 12:10:05,96343,16366
2023-05-20 12:15:04,96343,16366
2023-05-20 12:20:05,96343,16366
2023-05-20 12:25:04,96343,16366
2023-05-20 12:30:05,96343,16366
2023-05-20 12:35:04,96343,16366
2023-05-20 12:40:04,96343,16366
2023-05-20 12:45:04,96343,16366
2023-05-20 12:50:05,96343,16366
2023-05-20 12:55:04,96343,16366
2023-05-20 13:00:04,96343,16366
2023-05-20 13:05:04,96343,16366
2023-05-20 13:10:05,96343,16366
2023-05-20 13:15:04,96343,16366
2023-05-20 13:20:05,96343,16366
2023-05-20 13:25:04,96343,16366
2023-05-20 13:30:04,96343,16366
2023-05-20 13:35:04,96343,16366
2023-05-20 13:40:04,96343,16366
2023-05-20 13:45:04,96343,16366
2023-05-20 13:50:04,96343,16366
2023-05-20 13:55:03,96343,16366
2023-05-20 14:00:05,96343,16366
2023-05-20 14:05:04,96343,16366
2023-05-20 14:10:05,96343,16366
2023-05-20 14:15:04,96343,16366
2023-05-20 14:20:05,96343,16366
2023-05-20 14:25:04,96343,16366
2023-05-20 14:30:05,96343,16366
2023-05-20 14:35:04,96343,16366
2023-05-20 14:40:04,96343,16366
2023-05-20 14:45:04,96343,16366
2023-05-20 14:50:04,96343,16366
2023-05-20 14:55:04,96343,16366
2023-05-20 15:00:05,96343,16366
2023-05-20 15:05:04,96343,16366
2023-05-20 15:10:04,96343,16366
2023-05-20 15:15:04,96343,16366
2023-05-20 15:20:04,96343,16366
2023-05-20 15:25:04,96343,16366
2023-05-20 15:30:05,96343,16366
2023-05-20 15:35:04,96343,16366
2023-05-20 15:40:05,96343,16366
2023-05-20 15:45:04,96343,16366
2023-05-20 15:50:04,96343,16366
2023-05-20 15:55:04,96343,16366
2023-05-20 16:00:04,96343,16366
2023-05-20 16:05:03,96343,16366
2023-05-20 16:10:05,96343,16366
2023-05-20 16:15:04,96343,16366
2023-05-20 16:20:04,96343,16366
2023-05-20 16:25:05,96343,16366
2023-05-20 16:30:05,96343,16366
2023-05-20 16:35:04,96343,16366
2023-05-20 16:40:05,96343,16366
2023-05-20 16:45:04,96343,16366
2023-05-20 16:50:04,96343,16366
2023-05-20 16:55:03,96343,16366
2023-05-20 17:00:04,96343,16366
2023-05-20 17:05:05,96343,16366
2023-05-20 17:10:05,96343,16366
2023-05-20 17:15:04,96343,16366
2023-05-20 17:20:05,96343,16366
2023-05-20 17:25:04,96343,16366
2023-05-20 17:30:04,96343,16366
2023-05-20 17:35:04,96343,16366
2023-05-20 17:40:05,96343,16366
2023-05-20 17:45:04,96343,16366
2023-05-20 17:50:04,96343,16366
2023-05-20 17:55:04,96343,16366
2023-05-20 18:00:05,96343,16366
2023-05-20 18:05:04,96343,16366
2023-05-20 18:10:05,96343,16366
2023-05-20 18:15:04,96343,16366
2023-05-20 18:20:05,96343,16366
2023-05-20 18:25:04,96343,16366
2023-05-20 18:30:05,96343,16366
2023-05-20 18:35:03,96343,16366
2023-05-20 18:40:04,96343,16366
2023-05-20 18:45:04,96343,16366
2023-05-20 18:50:04,96343,16366
2023-05-20 18:55:04,96343,16366
2023-05-20 19:00:05,96343,16366
2023-05-20 19:05:04,96343,16366
2023-05-20 19:10:04,96343,16366
2023-05-20 19:15:04,96343,16366
2023-05-20 19:20:04,96343,16366
2023-05-20 19:25:04,96343,16366
2023-05-20 19:30:04,96343,16366
2023-05-20 19:35:04,96343,16366
2023-05-20 19:40:05,96343,16366
2023-05-20 19:45:04,96343,16366
2023-05-20 19:50:05,96343,16366
2023-05-20 19:55:04,96343,16366
2023-05-20 20:00:05,96343,16366
2023-05-20 20:05:04,96343,16366
2023-05-20 20:10:05,96343,16366
2023-05-20 20:15:04,96343,16366
2023-05-20 20:20:05,96343,16366
2023-05-20 20:25:04,96343,16366
2023-05-20 20:30:05,96343,16366
2023-05-20 20:35:04,96343,16366
2023-05-20 20:40:05,96343,16366
2023-05-20 20:45:04,96343,16366
2023-05-20 20:50:05,96343,16366
2023-05-20 20:55:04,96343,16366
2023-05-20 21:00:04,96343,16366
2023-05-20 21:05:04,96343,16366
2023-05-20 21:10:04,96343,16366
2023-05-20 21:15:04,96343,16366
2023-05-20 21:20:04,96343,16366
2023-05-20 21:25:04,96343,16366
2023-05-20 21:30:04,96343,16366
2023-05-20 21:35:03,96343,16366
2023-05-20 21:40:04,96343,16366
2023-05-20 21:45:04,96343,16366
2023-05-20 21:50:05,96343,16366
2023-05-20 21:55:04,96343,16366
2023-05-20 22:00:04,96343,16366
2023-05-20 22:05:04,96343,16366
2023-05-20 22:10:04,96343,16366
2023-05-20 22:15:04,96343,16366
2023-05-20 22:20:05,96343,16366
2023-05-20 22:25:04,96343,16366
2023-05-20 22:30:05,96343,16366
2023-05-20 22:35:04,96343,16366
2023-05-20 22:40:04,96343,16366
2023-05-20 22:45:03,96343,16366
2023-05-20 22:50:04,96343,16366
2023-05-20 22:55:04,96343,16366
2023-05-20 23:00:04,96343,16366
2023-05-20 23:05:04,96343,16366
2023-05-20 23:10:04,96343,16366
2023-05-20 23:15:04,96343,16366
2023-05-20 23:20:05,96343,16366
2023-05-20 23:25:04,96343,16366
2023-05-20 23:30:04,96343,16366
2023-05-20 23:35:04,96343,16366
2023-05-20 23:40:04,96343,16366
2023-05-20 23:45:04,96343,16366
2023-05-20 23:50:05,96343,16366
2023-05-20 23:55:04,96343,16366
