datetime,in,out
2023-05-19 00:00:05,0,548
2023-05-19 00:05:04,0,548
2023-05-19 00:10:05,0,548
2023-05-19 00:15:03,0,548
2023-05-19 00:20:04,0,548
2023-05-19 00:25:04,0,548
2023-05-19 00:30:04,0,548
2023-05-19 00:35:04,0,548
2023-05-19 00:40:04,0,548
2023-05-19 00:45:04,0,548
2023-05-19 00:50:05,0,548
2023-05-19 00:55:04,0,548
2023-05-19 01:00:04,0,548
2023-05-19 01:05:04,0,548
2023-05-19 01:10:04,0,548
2023-05-19 01:15:04,0,548
2023-05-19 01:20:04,0,548
2023-05-19 01:25:04,0,548
2023-05-19 01:30:04,0,548
2023-05-19 01:35:04,0,548
2023-05-19 01:40:05,0,548
2023-05-19 01:45:04,0,548
2023-05-19 01:50:05,0,548
2023-05-19 01:55:03,0,548
2023-05-19 02:00:04,0,548
2023-05-19 02:05:04,0,548
2023-05-19 02:10:04,0,548
2023-05-19 02:15:04,0,548
2023-05-19 02:20:04,0,548
2023-05-19 02:25:04,0,548
2023-05-19 02:30:05,0,548
2023-05-19 02:35:04,0,548
2023-05-19 02:40:05,0,548
2023-05-19 02:45:04,0,548
2023-05-19 02:50:04,0,548
2023-05-19 02:55:04,0,548
2023-05-19 03:00:05,0,548
2023-05-19 03:05:04,0,548
2023-05-19 03:10:05,0,548
2023-05-19 03:15:04,0,548
2023-05-19 03:20:04,0,548
2023-05-19 03:25:04,0,548
2023-05-19 03:30:04,0,548
2023-05-19 03:35:03,0,548
2023-05-19 03:40:05,0,548
2023-05-19 03:45:05,0,548
2023-05-19 03:50:05,0,548
2023-05-19 03:55:04,0,548
2023-05-19 04:00:05,0,548
2023-05-19 04:05:04,0,548
2023-05-19 04:10:04,0,548
2023-05-19 04:15:04,0,548
2023-05-19 04:20:04,0,548
2023-05-19 04:25:04,0,548
2023-05-19 04:30:04,0,548
2023-05-19 04:35:04,0,548
2023-05-19 04:40:04,0,548
2023-05-19 04:45:03,0,548
2023-05-19 04:50:04,0,548
2023-05-19 04:55:03,0,548
2023-05-19 05:00:04,0,548
2023-05-19 05:05:04,0,548
2023-05-19 05:10:04,0,548
2023-05-19 05:15:04,0,548
2023-05-19 05:20:05,0,548
2023-05-19 05:25:04,0,548
2023-05-19 05:30:04,0,548
2023-05-19 05:35:04,0,548
2023-05-19 05:40:04,0,548
2023-05-19 05:45:04,0,548
2023-05-19 05:50:04,0,548
2023-05-19 05:55:04,0,548
2023-05-19 06:00:04,0,548
2023-05-19 06:05:04,0,548
2023-05-19 06:10:04,0,548
2023-05-19 06:15:04,0,548
2023-05-19 06:20:05,0,548
2023-05-19 06:25:04,0,548
2023-05-19 06:30:04,0,548
2023-05-19 06:35:03,0,548
2023-05-19 06:40:04,0,548
2023-05-19 06:45:04,0,548
2023-05-19 06:50:05,0,548
2023-05-19 06:55:04,0,548
2023-05-19 07:00:04,0,548
2023-05-19 07:05:04,0,548
2023-05-19 07:10:05,0,548
2023-05-19 07:15:03,0,548
2023-05-19 07:20:04,0,548
2023-05-19 07:25:04,0,548
2023-05-19 07:30:04,0,548
2023-05-19 07:35:04,0,548
2023-05-19 07:40:04,0,548
2023-05-19 07:45:04,0,548
2023-05-19 07:50:04,0,548
2023-05-19 07:55:04,0,548
2023-05-19 08:00:04,0,548
2023-05-19 08:05:04,0,548
2023-05-19 08:10:04,0,548
2023-05-19 08:15:04,0,548
2023-05-19 08:20:04,0,548
2023-05-19 08:25:04,0,548
2023-05-19 08:30:04,0,548
2023-05-19 08:35:04,0,548
2023-05-19 08:40:05,0,548
2023-05-19 08:45:04,0,548
2023-05-19 08:50:04,0,548
2023-05-19 08:55:04,0,548
2023-05-19 09:00:05,0,548
2023-05-19 09:05:03,0,548
2023-05-19 09:10:05,0,548
2023-05-19 09:15:04,0,548
2023-05-19 09:20:05,0,548
2023-05-19 09:25:04,0,548
2023-05-19 09:30:05,0,548
2023-05-19 09:35:04,0,548
2023-05-19 09:40:04,0,548
2023-05-19 09:45:04,0,548
2023-05-19 09:50:04,0,548
2023-05-19 09:55:04,0,548
2023-05-19 10:00:05,0,548
2023-05-19 10:05:04,0,548
2023-05-19 10:10:05,0,548
2023-05-19 10:15:04,0,548
2023-05-19 10:20:04,0,548
2023-05-19 10:25:03,0,548
2023-05-19 10:30:04,0,548
2023-05-19 10:35:04,0,548
2023-05-19 10:40:04,0,548
2023-05-19 10:45:04,0,548
2023-05-19 10:50:04,0,548
2023-05-19 10:55:04,0,548
2023-05-19 11:00:04,0,548
2023-05-19 11:05:04,0,548
2023-05-19 11:10:04,0,548
2023-05-19 11:15:04,0,548
2023-05-19 11:20:04,0,548
2023-05-19 11:25:04,0,548
2023-05-19 11:30:04,0,548
2023-05-19 11:35:04,0,548
2023-05-19 11:40:04,0,548
2023-05-19 11:45:04,0,548
2023-05-19 11:50:05,0,548
2023-05-19 11:55:04,0,548
2023-05-19 12:00:05,0,548
2023-05-19 12:05:04,0,548
2023-05-19 12:10:04,0,548
2023-05-19 12:15:03,0,548
2023-05-19 12:20:04,0,548
2023-05-19 12:25:03,0,548
2023-05-19 12:30:04,0,548
2023-05-19 12:35:04,0,548
2023-05-19 12:40:04,0,548
2023-05-19 12:45:03,0,548
2023-05-19 12:50:04,0,548
2023-05-19 12:55:03,0,548
2023-05-19 13:00:04,0,548
2023-05-19 13:05:04,0,548
2023-05-19 13:10:05,0,548
2023-05-19 13:15:04,0,548
2023-05-19 13:20:04,0,548
2023-05-19 13:25:04,0,548
2023-05-19 13:30:04,0,548
2023-05-19 13:35:04,0,548
2023-05-19 13:40:04,0,548
2023-05-19 13:45:04,0,548
2023-05-19 13:50:05,0,548
2023-05-19 13:55:04,0,548
2023-05-19 14:00:04,0,548
2023-05-19 14:05:03,0,548
2023-05-19 14:10:04,0,548
2023-05-19 14:15:04,0,548
2023-05-19 14:20:05,0,548
2023-05-19 14:25:04,0,548
2023-05-19 14:30:04,0,548
2023-05-19 14:35:04,0,548
2023-05-19 14:40:04,0,548
2023-05-19 14:45:04,0,548
2023-05-19 14:50:04,0,548
2023-05-19 14:55:03,0,548
2023-05-19 15:00:04,0,548
2023-05-19 15:05:04,0,548
2023-05-19 15:10:04,0,548
2023-05-19 15:15:04,0,548
2023-05-19 15:20:04,0,548
2023-05-19 15:25:04,0,548
2023-05-19 15:30:04,0,548
2023-05-19 15:35:04,0,548
2023-05-19 15:40:04,0,548
2023-05-19 15:45:03,0,548
2023-05-19 15:50:05,0,548
2023-05-19 15:55:04,0,548
2023-05-19 16:00:04,0,548
2023-05-19 16:05:04,0,548
2023-05-19 16:10:04,0,548
2023-05-19 16:15:04,0,548
2023-05-19 16:20:04,0,548
2023-05-19 16:25:04,0,548
