datetime,in,out
2023-05-20 00:00:03,2431432876,3938309871
2023-05-20 00:05:03,2431725513,3938480013
2023-05-20 00:10:03,2431924694,3938527782
2023-05-20 00:15:03,2432206439,3938734293
2023-05-20 00:20:03,2432476996,3938921693
2023-05-20 00:25:02,2432765163,3939127686
2023-05-20 00:30:03,2432892352,3939163465
2023-05-20 00:35:02,2433183254,3939369709
2023-05-20 00:40:03,2433304744,3939406150
2023-05-20 00:45:03,2433597279,3939612392
2023-05-20 00:50:03,2433718809,3939648287
2023-05-20 00:55:03,2434013212,3939859350
2023-05-20 01:00:03,2434142953,3939897314
2023-05-20 01:05:03,2434437757,3940106859
2023-05-20 01:10:02,2434622499,3940154794
2023-05-20 01:15:03,2434903286,3940373053
2023-05-20 01:20:02,2435188408,3940550415
2023-05-20 01:25:03,2435606852,3943317486
2023-05-20 01:30:03,2435758977,3943390012
2023-05-20 01:35:03,2436063911,3943598612
2023-05-20 01:40:02,2436211571,3943634348
2023-05-20 01:45:03,2436510580,3943840546
2023-05-20 01:50:03,2436642481,3943876545
2023-05-20 01:55:02,2436925086,3944082748
2023-05-20 02:00:03,2437063856,3944126555
2023-05-20 02:05:03,2437350378,3944334258
2023-05-20 02:10:03,2437488447,3944371140
2023-05-20 02:15:03,2438057280,3944608882
2023-05-20 02:20:03,2438317487,3944790492
2023-05-20 02:25:02,2438590635,3944993524
2023-05-20 02:30:03,2438715069,3945030012
2023-05-20 02:35:03,2439006636,3945237044
2023-05-20 02:40:03,2439134674,3945272929
2023-05-20 02:45:03,2439433296,3945479508
2023-05-20 02:50:03,2439568673,3945515245
2023-05-20 02:55:03,2439857149,3945721817
2023-05-20 03:00:03,2439981190,3945757644
2023-05-20 03:05:03,2440280881,3945981500
2023-05-20 03:10:03,2440485055,3946029458
2023-05-20 03:15:03,2440782749,3946238663
2023-05-20 03:20:03,2441052191,3946428633
2023-05-20 03:25:02,2441347295,3946647039
2023-05-20 03:30:03,2441504102,3946815563
2023-05-20 03:35:03,2441799427,3947026076
2023-05-20 03:40:03,2441944064,3947088606
2023-05-20 03:45:03,2442219240,3947275771
2023-05-20 03:50:03,2442371493,3947330691
2023-05-20 03:55:03,2442652968,3947523178
2023-05-20 04:00:03,2442773753,3947559700
2023-05-20 04:05:03,2443143258,3947781507
2023-05-20 04:10:03,2443252679,3947805799
2023-05-20 04:15:03,2443609045,3948028258
2023-05-20 04:20:03,2443875100,3948215027
2023-05-20 04:25:03,2444161355,3948428441
2023-05-20 04:30:03,2444278775,3948464220
2023-05-20 04:35:03,2444576620,3948670628
2023-05-20 04:40:03,2444686111,3948707378
2023-05-20 04:45:03,2444980051,3948914253
2023-05-20 04:50:03,2445117219,3948949944
2023-05-20 04:55:03,2445405380,3949156394
2023-05-20 05:00:03,2445555345,3949321150
2023-05-20 05:05:03,2445832911,3949516584
2023-05-20 05:10:03,2445969980,3949566349
2023-05-20 05:15:03,2446329229,3949784432
2023-05-20 05:20:03,2446598361,3950001740
2023-05-20 05:25:03,2446890389,3950218041
2023-05-20 05:30:03,2447012132,3950244533
2023-05-20 05:35:03,2447311015,3950451109
2023-05-20 05:40:03,2447433030,3950486935
2023-05-20 05:45:03,2447745680,3950693023
2023-05-20 05:50:03,2447933068,3950728847
2023-05-20 05:55:02,2448263821,3950935111
2023-05-20 06:00:03,2448401593,3950970846
2023-05-20 06:05:03,2448708530,3951177772
2023-05-20 06:10:03,2448858598,3951214386
2023-05-20 06:15:03,2449244185,3951438079
2023-05-20 06:20:03,2449534828,3951624706
2023-05-20 06:25:02,2449836577,3951844634
2023-05-20 06:30:03,2449992213,3951884601
2023-05-20 06:35:03,2450298685,3952095653
2023-05-20 06:40:03,2450431281,3952128744
2023-05-20 06:45:03,2450735178,3952340054
2023-05-20 06:50:03,2450860069,3952433958
2023-05-20 06:55:02,2451152707,3952640348
2023-05-20 07:00:03,2451282184,3952684775
2023-05-20 07:05:02,2451574227,3952890932
2023-05-20 07:10:03,2451692716,3952935074
2023-05-20 07:15:03,2452054824,3953157979
2023-05-20 07:20:02,2452328197,3953344724
2023-05-20 07:25:03,2452620401,3953551206
2023-05-20 07:30:03,2452747427,3953586851
2023-05-20 07:35:03,2453033413,3953793324
2023-05-20 07:40:03,2453171649,3953829119
2023-05-20 07:45:03,2453456572,3954035499
2023-05-20 07:50:02,2453581997,3954092337
2023-05-20 07:55:03,2453888299,3954295675
2023-05-20 08:00:03,2454009058,3954330843
2023-05-20 08:05:03,2454379729,3954555571
2023-05-20 08:10:03,2454507398,3954594682
2023-05-20 08:15:03,2454804140,3954814808
2023-05-20 08:20:03,2455087712,3955033269
2023-05-20 08:25:02,2455372261,3955208690
2023-05-20 08:30:03,2455503926,3955269041
2023-05-20 08:35:03,2455801188,3955475576
2023-05-20 08:40:03,2455924106,3955519330
2023-05-20 08:45:03,2456232045,3955783352
2023-05-20 08:50:03,2456347255,3955826533
2023-05-20 08:55:02,2456636668,3956032649
2023-05-20 09:00:03,2456761009,3956068599
2023-05-20 09:05:03,2457062335,3956293694
2023-05-20 09:10:02,2457261056,3956348240
2023-05-20 09:15:03,2457545643,3956552265
2023-05-20 09:20:03,2457823543,3956747463
2023-05-20 09:25:03,2458135973,3956960655
2023-05-20 09:30:03,2458361454,3959139034
2023-05-20 09:35:03,2458645978,3959334081
2023-05-20 09:40:03,2458811947,3959404522
2023-05-20 09:45:03,2459076862,3959583264
2023-05-20 09:50:03,2459211968,3959619181
2023-05-20 09:55:03,2459504664,3959825701
2023-05-20 10:00:03,2459637944,3959862594
2023-05-20 10:05:03,2459946610,3960069381
2023-05-20 10:10:03,2460152064,3960118434
2023-05-20 10:15:02,2460465346,3960324862
2023-05-20 10:20:03,2460734854,3960511493
2023-05-20 10:25:03,2461032137,3960717876
2023-05-20 10:30:03,2461161720,3960753655
2023-05-20 10:35:03,2461461057,3960960854
2023-05-20 10:40:03,2461581133,3960996443
2023-05-20 10:45:03,2461871812,3961203232
2023-05-20 10:50:03,2462017651,3961274045
2023-05-20 10:55:03,2462296663,3961458255
2023-05-20 11:00:03,2462442691,3961519987
2023-05-20 11:05:03,2462695780,3961701608
2023-05-20 11:10:03,2462824988,3961746068
2023-05-20 11:15:03,2463195145,3961984939
2023-05-20 11:20:03,2463473360,3962192521
2023-05-20 11:25:03,2463821026,3963942793
2023-05-20 11:30:03,2463951618,3963978440
2023-05-20 11:35:03,2464250242,3964185616
2023-05-20 11:40:03,2464374634,3964221443
2023-05-20 11:45:03,2464662876,3964442591
2023-05-20 11:50:03,2464792742,3964478713
2023-05-20 11:55:02,2465095891,3964687337
2023-05-20 12:00:03,2465230806,3964722905
2023-05-20 12:05:03,2465541874,3964941713
2023-05-20 12:10:03,2465779666,3964989015
2023-05-20 12:15:03,2466118066,3965234708
2023-05-20 12:20:03,2466401908,3965444585
2023-05-20 12:25:03,2466674805,3965638284
2023-05-20 12:30:03,2466831139,3965696935
2023-05-20 12:35:03,2467130112,3965903002
2023-05-20 12:40:03,2467240741,3965927732
2023-05-20 12:45:03,2467530748,3966142713
2023-05-20 12:50:03,2467677698,3966188171
2023-05-20 12:55:03,2468025205,3968118711
2023-05-20 13:00:03,2468160552,3968154536
2023-05-20 13:05:02,2468466847,3968361423
2023-05-20 13:10:03,2468601259,3968397996
2023-05-20 13:15:03,2468980004,3968633642
2023-05-20 13:20:03,2469248514,3968814563
2023-05-20 13:25:03,2469540134,3969025949
2023-05-20 13:30:03,2469688976,3969068815
2023-05-20 13:35:03,2469974777,3969271513
2023-05-20 13:40:03,2470122869,3969322267
2023-05-20 13:45:03,2470403866,3969521372
2023-05-20 13:50:03,2470579584,3969577299
2023-05-20 13:55:02,2470866131,3969756820
2023-05-20 14:00:03,2471056059,3969834070
2023-05-20 14:05:02,2471347443,3970013308
2023-05-20 14:10:03,2471567610,3970094898
2023-05-20 14:15:02,2471867807,3970270041
2023-05-20 14:20:03,2472081022,3970381158
2023-05-20 14:25:02,2472452491,3970662878
2023-05-20 14:30:03,2472588179,3970698657
2023-05-20 14:35:03,2472978195,3973520771
2023-05-20 14:40:03,2473105997,3973556921
2023-05-20 14:45:02,2473408532,3973763190
2023-05-20 14:50:03,2473585148,3978286224
2023-05-20 14:55:03,2473890933,3978492316
2023-05-20 15:00:03,2474018096,3978528201
2023-05-20 15:05:03,2474326764,3978735296
2023-05-20 15:10:03,2474460591,3978777847
2023-05-20 15:15:03,2474831424,3978996228
2023-05-20 15:20:03,2475020263,3979096769
2023-05-20 15:25:02,2475412711,3979409601
2023-05-20 15:30:03,2475543477,3979448737
2023-05-20 15:35:03,2475809531,3979640943
2023-05-20 15:40:03,2475982011,3979740141
2023-05-20 15:45:03,2476271380,3979944341
2023-05-20 15:50:03,2476400925,3979969461
2023-05-20 15:55:03,2476697985,3980182918
2023-05-20 16:00:02,2476813938,3980218697
2023-05-20 16:05:02,2477114434,3980425298
2023-05-20 16:10:03,2477317724,3980475053
2023-05-20 16:15:03,2477608366,3980681695
2023-05-20 16:20:03,2477732393,3980724632
2023-05-20 16:25:03,2478194750,3981229713
2023-05-20 16:30:03,2478326771,3981265450
2023-05-20 16:35:03,2478617060,3981471622
2023-05-20 16:40:03,2478738741,3981508705
2023-05-20 16:45:02,2479041792,3981721060
2023-05-20 16:50:03,2479178194,3981756556
2023-05-20 16:55:02,2479597385,3984600559
2023-05-20 17:00:03,2479923970,3984840012
2023-05-20 17:05:03,2480211595,3985049081
2023-05-20 17:10:03,2480366787,3985107761
2023-05-20 17:15:02,2480633467,3985292882
2023-05-20 17:20:03,2480845461,3985383118
2023-05-20 17:25:03,2481306878,3985744635
2023-05-20 17:30:02,2481447667,3985791732
2023-05-20 17:35:03,2481759219,3985998019
2023-05-20 17:40:03,2481889392,3986033814
2023-05-20 17:45:03,2482179707,3986241576
2023-05-20 17:50:03,2482305820,3986277223
2023-05-20 17:55:03,2482777668,3989114675
2023-05-20 18:00:03,2482917268,3989150914
2023-05-20 18:05:03,2483221100,3989358581
2023-05-20 18:10:03,2483366662,3989395493
2023-05-20 18:15:02,2483749061,3989636954
2023-05-20 18:20:03,2504557561,3990849266
2023-05-20 18:25:02,2505029721,3993105079
2023-05-20 18:30:03,2505175490,3993148387
2023-05-20 18:35:02,2505457703,3993337544
2023-05-20 18:40:03,2506077816,3996380668
2023-05-20 18:45:03,2506373497,3996587015
2023-05-20 18:50:03,2506489984,3996629912
2023-05-20 18:55:02,2506754909,3996836033
2023-05-20 19:00:03,2506883289,3996872505
2023-05-20 19:05:02,2507152511,3997079640
2023-05-20 19:10:03,2507260353,3997116211
2023-05-20 19:15:03,2507605760,3997339677
2023-05-20 19:20:03,2507715831,3997375660
2023-05-20 19:25:03,2508131233,3997733991
2023-05-20 19:30:03,2508224476,3997761253
2023-05-20 19:35:03,2508486306,3997967543
2023-05-20 19:40:03,2508596928,3998007524
2023-05-20 19:45:03,2508878516,3998216347
2023-05-20 19:50:03,2508992745,3998251738
2023-05-20 19:55:03,2509254290,3998447581
2023-05-20 20:00:03,2509455587,4001674630
2023-05-20 20:05:02,2509715393,4001849360
2023-05-20 20:10:03,2509941463,4002575110
2023-05-20 20:15:03,2510291872,4002798384
2023-05-20 20:20:03,2510399071,4002835597
2023-05-20 20:25:03,2510814177,4003193678
2023-05-20 20:30:03,2510906591,4003229505
2023-05-20 20:35:03,2511188810,4003436175
2023-05-20 20:40:03,2511288260,4003471879
2023-05-20 20:45:03,2511548013,4003678538
2023-05-20 20:50:03,2511645840,4003714273
