datetime,in,out
2023-05-07 00:00:02,425364818,425364818
2023-05-07 00:05:02,425364818,425364818
2023-05-07 00:10:02,425364818,425364818
2023-05-07 00:15:02,425364818,425364818
2023-05-07 00:20:02,425364818,425364818
2023-05-07 00:25:03,425364818,425364818
2023-05-07 00:30:02,425364818,425364818
2023-05-07 00:35:02,425364818,425364818
2023-05-07 00:40:02,425364818,425364818
2023-05-07 00:45:02,425364818,425364818
2023-05-07 00:50:02,425364818,425364818
2023-05-07 00:55:02,425364818,425364818
2023-05-07 01:00:03,425364818,425364818
2023-05-07 01:05:03,425364818,425364818
2023-05-07 01:10:03,425364818,425364818
2023-05-07 01:15:03,425364818,425364818
2023-05-07 01:20:02,425364818,425364818
2023-05-07 01:25:02,425364818,425364818
2023-05-07 01:30:02,425364818,425364818
2023-05-07 01:35:02,425364818,425364818
2023-05-07 01:40:02,425364818,425364818
2023-05-07 01:45:02,425364818,425364818
2023-05-07 01:50:02,425364818,425364818
2023-05-07 01:55:02,425364818,425364818
2023-05-07 02:00:03,425364818,425364818
2023-05-07 02:05:02,425364818,425364818
2023-05-07 02:10:02,425364818,425364818
2023-05-07 02:15:02,425364818,425364818
2023-05-07 02:20:02,425364818,425364818
2023-05-07 02:25:02,425364818,425364818
2023-05-07 02:30:02,425364818,425364818
2023-05-07 02:35:02,425364818,425364818
2023-05-07 02:40:02,425364818,425364818
2023-05-07 02:45:02,425364818,425364818
2023-05-07 02:50:02,425364818,425364818
2023-05-07 02:55:02,425364818,425364818
2023-05-07 03:00:03,425364818,425364818
2023-05-07 03:05:02,425364818,425364818
2023-05-07 03:10:02,425364818,425364818
2023-05-07 03:15:02,425364818,425364818
2023-05-07 03:20:03,425364818,425364818
2023-05-07 03:25:02,425364818,425364818
2023-05-07 03:30:02,425364818,425364818
2023-05-07 03:35:03,425364818,425364818
2023-05-07 03:40:02,425364818,425364818
2023-05-07 03:45:02,425364818,425364818
2023-05-07 03:50:02,425364818,425364818
2023-05-07 03:55:02,425364818,425364818
2023-05-07 04:00:02,425364818,425364818
2023-05-07 04:05:02,425364818,425364818
2023-05-07 04:10:02,425364818,425364818
2023-05-07 04:15:02,425364818,425364818
2023-05-07 04:20:03,425364818,425364818
2023-05-07 04:25:03,425364818,425364818
2023-05-07 04:30:03,425364818,425364818
2023-05-07 04:35:03,425364818,425364818
2023-05-07 04:40:02,425364818,425364818
2023-05-07 04:45:02,425364818,425364818
2023-05-07 04:50:02,425364818,425364818
2023-05-07 04:55:02,425364818,425364818
2023-05-07 05:00:02,425364818,425364818
2023-05-07 05:05:02,425364818,425364818
2023-05-07 05:10:02,425364818,425364818
2023-05-07 05:15:03,425364818,425364818
2023-05-07 05:20:02,425364818,425364818
2023-05-07 05:25:02,425364818,425364818
2023-05-07 05:30:02,425364818,425364818
2023-05-07 05:35:02,425364818,425364818
2023-05-07 05:40:02,425364818,425364818
2023-05-07 05:45:03,425364818,425364818
2023-05-07 05:50:02,425364818,425364818
2023-05-07 05:55:02,425364818,425364818
2023-05-07 06:00:02,425364818,425364818
2023-05-07 06:05:02,425364818,425364818
2023-05-07 06:10:02,425364818,425364818
2023-05-07 06:15:03,425364818,425364818
2023-05-07 06:20:03,425364818,425364818
2023-05-07 06:25:02,425364818,425364818
2023-05-07 06:30:02,425364818,425364818
2023-05-07 06:35:02,425364818,425364818
2023-05-07 06:40:02,425364818,425364818
2023-05-07 06:45:02,425364818,425364818
2023-05-07 06:50:02,425364818,425364818
2023-05-07 06:55:03,425364818,425364818
2023-05-07 07:00:02,425364818,425364818
2023-05-07 07:05:02,425364818,425364818
2023-05-07 07:10:02,425364818,425364818
2023-05-07 07:15:02,425364818,425364818
2023-05-07 07:20:02,425364818,425364818
2023-05-07 07:25:02,425364818,425364818
2023-05-07 07:30:02,425364818,425364818
2023-05-07 07:35:02,425364818,425364818
2023-05-07 07:40:02,425364818,425364818
2023-05-07 07:45:02,425364818,425364818
2023-05-07 07:50:02,425364818,425364818
2023-05-07 07:55:02,425364818,425364818
2023-05-07 08:00:02,425364818,425364818
2023-05-07 08:05:03,425364818,425364818
2023-05-07 08:10:03,425364818,425364818
2023-05-07 08:15:02,425364818,425364818
2023-05-07 08:20:02,425364818,425364818
2023-05-07 08:25:02,425364818,425364818
2023-05-07 08:30:02,425364818,425364818
2023-05-07 08:35:02,425367314,425367314
2023-05-07 08:40:02,425367314,425367314
2023-05-07 08:45:02,425367314,425367314
2023-05-07 08:50:02,425367314,425367314
2023-05-07 08:55:03,428092791,428092791
2023-05-07 09:00:02,428092791,428092791
2023-05-07 09:05:02,428092791,428092791
2023-05-07 09:10:02,430691776,430691776
2023-05-07 09:15:02,430691776,430691776
2023-05-07 09:20:02,430691776,430691776
2023-05-07 09:25:02,430691776,430691776
2023-05-07 09:30:02,430691776,430691776
2023-05-07 09:35:02,430691776,430691776
2023-05-07 09:40:02,430691776,430691776
2023-05-07 09:45:02,430691776,430691776
2023-05-07 09:50:02,430691776,430691776
2023-05-07 09:55:02,430691776,430691776
2023-05-07 10:00:02,430691776,430691776
2023-05-07 10:05:02,430691776,430691776
2023-05-07 10:10:03,430691776,430691776
2023-05-07 10:15:02,430691776,430691776
2023-05-07 10:20:02,430691776,430691776
2023-05-07 10:25:02,430691776,430691776
2023-05-07 10:30:02,430691776,430691776
2023-05-07 10:35:02,430691776,430691776
2023-05-07 10:40:02,430691776,430691776
2023-05-07 10:45:02,430691776,430691776
2023-05-07 10:50:03,430691776,430691776
2023-05-07 10:55:02,430691776,430691776
2023-05-07 11:00:02,430691776,430691776
2023-05-07 11:05:02,430691776,430691776
2023-05-07 11:10:02,430691776,430691776
2023-05-07 11:15:02,430691776,430691776
2023-05-07 11:20:02,430691776,430691776
2023-05-07 11:25:02,430691776,430691776
2023-05-07 11:30:02,430691776,430691776
2023-05-07 11:35:02,430691776,430691776
2023-05-07 11:40:02,430691776,430691776
2023-05-07 11:45:02,430727145,430727145
2023-05-07 11:50:02,430783984,430783984
2023-05-07 11:55:02,430783984,430783984
2023-05-07 12:00:02,431343582,431343582
2023-05-07 12:05:02,451751122,451751122
2023-05-07 12:10:02,451751122,451751122
2023-05-07 12:15:02,451751122,451751122
2023-05-07 12:20:02,451751122,451751122
2023-05-07 12:25:02,454441973,454441973
2023-05-07 12:30:02,456957761,456957761
2023-05-07 12:35:02,456957761,456957761
2023-05-07 12:40:02,456957761,456957761
2023-05-07 12:45:02,456957761,456957761
2023-05-07 12:50:02,456957761,456957761
2023-05-07 12:55:02,456957761,456957761
2023-05-07 13:00:03,456957761,456957761
2023-05-07 13:05:03,456957761,456957761
2023-05-07 13:10:03,456957761,456957761
2023-05-07 13:15:03,457006879,457006879
2023-05-07 13:20:02,457006879,457006879
2023-05-07 13:25:02,457006879,457006879
2023-05-07 13:30:02,457006879,457006879
2023-05-07 13:35:02,457006879,457006879
2023-05-07 13:40:02,457006879,457006879
2023-05-07 13:45:02,457006879,457006879
2023-05-07 13:50:02,457006879,457006879
2023-05-07 13:55:02,457006879,457006879
2023-05-07 14:00:03,457006879,457006879
2023-05-07 14:05:02,457006879,457006879
2023-05-07 14:10:02,457006879,457006879
2023-05-07 14:15:02,461483392,461483392
2023-05-07 14:20:02,461503202,461503202
2023-05-07 14:25:02,461503202,461503202
2023-05-07 14:30:02,461503202,461503202
2023-05-07 14:35:02,461503202,461503202
2023-05-07 14:40:02,461503202,461503202
2023-05-07 14:45:02,461503202,461503202
2023-05-07 14:50:02,461503202,461503202
2023-05-07 14:55:02,461503202,461503202
2023-05-07 15:00:03,461503202,461503202
2023-05-07 15:05:03,461503202,461503202
2023-05-07 15:10:02,461503202,461503202
2023-05-07 15:15:02,461503202,461503202
2023-05-07 15:20:02,468317716,468317716
2023-05-07 15:25:02,468317716,468317716
2023-05-07 15:30:02,473011300,473011300
2023-05-07 15:35:02,473256533,473256533
2023-05-07 15:40:02,473256533,473256533
2023-05-07 15:45:02,473256533,473256533
2023-05-07 15:50:02,473256533,473256533
2023-05-07 15:55:02,473256533,473256533
2023-05-07 16:00:02,473256533,473256533
2023-05-07 16:05:02,473256533,473256533
2023-05-07 16:10:02,473256533,473256533
