datetime,in,out
2023-05-13 00:00:05,10361721,1746972
2023-05-13 00:05:04,10361721,1746972
2023-05-13 00:10:05,10361721,1746972
2023-05-13 00:15:04,10361721,1746972
2023-05-13 00:20:06,10361721,1746972
2023-05-13 00:25:05,10361721,1746972
2023-05-13 00:30:05,10361721,1746972
2023-05-13 00:35:04,10361721,1746972
2023-05-13 00:40:06,10361721,1746972
2023-05-13 00:45:04,10361721,1746972
2023-05-13 00:50:06,10361721,1746972
2023-05-13 00:55:05,10361721,1746972
2023-05-13 01:00:05,10361721,1746972
2023-05-13 01:05:04,10361721,1746972
2023-05-13 01:10:06,10361721,1746972
2023-05-13 01:15:04,10361721,1746972
2023-05-13 01:20:06,10361721,1746972
2023-05-13 01:25:05,10361721,1746972
2023-05-13 01:30:05,10361721,1746972
2023-05-13 01:35:04,10361721,1746972
2023-05-13 01:40:05,10361721,1746972
2023-05-13 01:45:04,10361721,1746972
2023-05-13 01:50:06,10361721,1746972
2023-05-13 01:55:04,10361721,1746972
2023-05-13 02:00:04,10361721,1746972
2023-05-13 02:05:04,10361721,1746972
2023-05-13 02:10:05,10361721,1746972
2023-05-13 02:15:04,10361721,1746972
2023-05-13 02:20:06,10361721,1746972
2023-05-13 02:25:04,10361721,1746972
2023-05-13 02:30:05,10361721,1746972
2023-05-13 02:35:04,10361721,1746972
2023-05-13 02:40:06,10361721,1746972
2023-05-13 02:45:05,10361721,1746972
2023-05-13 02:50:05,10361721,1746972
2023-05-13 02:55:04,10361721,1746972
2023-05-13 03:00:05,10361721,1746972
2023-05-13 03:05:05,10361721,1746972
2023-05-13 03:10:05,10361721,1746972
2023-05-13 03:15:04,10361721,1746972
2023-05-13 03:20:05,10361721,1746972
2023-05-13 03:25:04,10361721,1746972
2023-05-13 03:30:06,10361721,1746972
2023-05-13 03:35:05,10361721,1746972
2023-05-13 03:40:05,10361721,1746972
2023-05-13 03:45:04,10361721,1746972
2023-05-13 03:50:05,10361721,1746972
2023-05-13 03:55:04,10361721,1746972
2023-05-13 04:00:06,10361721,1746972
2023-05-13 04:05:04,10361721,1746972
2023-05-13 04:10:05,10361721,1746972
2023-05-13 04:15:05,10361721,1746972
2023-05-13 04:20:05,10361721,1746972
2023-05-13 04:25:04,10361721,1746972
2023-05-13 04:30:06,10361721,1746972
2023-05-13 04:35:04,10361721,1746972
2023-05-13 04:40:06,10361721,1746972
2023-05-13 04:45:05,10361721,1746972
2023-05-13 04:50:05,10361721,1746972
2023-05-13 04:55:06,10361721,1746972
2023-05-13 05:00:05,10361721,1746972
2023-05-13 05:05:04,10361721,1746972
2023-05-13 05:10:05,10361721,1746972
2023-05-13 05:15:04,10361721,1746972
2023-05-13 05:20:05,10361721,1746972
2023-05-13 05:25:04,10361721,1746972
2023-05-13 05:30:05,10361721,1746972
2023-05-13 05:35:05,10361721,1746972
2023-05-13 05:40:05,10361721,1746972
2023-05-13 05:45:04,10361721,1747038
2023-05-13 05:50:05,10361721,1747038
2023-05-13 05:55:04,10361721,1747038
2023-05-13 06:00:06,10361721,1747038
2023-05-13 06:05:04,10361721,1747112
2023-05-13 06:10:06,10361721,1747112
2023-05-13 06:15:05,10361721,1747112
2023-05-13 06:20:05,10361721,1747112
2023-05-13 06:25:05,10361721,1747112
2023-05-13 06:30:05,10361721,1747112
2023-05-13 06:35:04,10361721,1747112
2023-05-13 06:40:06,10361721,1747112
2023-05-13 06:45:04,10361721,1747112
2023-05-13 06:50:06,10361721,1747112
2023-05-13 06:55:04,10361721,1747112
2023-05-13 07:00:05,10361721,1747112
2023-05-13 07:05:04,10361721,1747112
2023-05-13 07:10:05,10361721,1747112
2023-05-13 07:15:04,10361721,1747112
2023-05-13 07:20:05,10361721,1747112
2023-05-13 07:25:05,10361721,1747112
2023-05-13 07:30:05,10361721,1747112
2023-05-13 07:35:05,10361721,1747112
2023-05-13 07:40:05,10361721,1747112
2023-05-13 07:45:04,10361721,1747112
2023-05-13 07:50:05,10361721,1747112
2023-05-13 07:55:04,10361721,1747112
2023-05-13 08:00:05,10361721,1747112
2023-05-13 08:05:04,10361721,1747112
2023-05-13 08:10:06,10361721,1747112
2023-05-13 08:15:04,10361721,1747112
2023-05-13 08:20:06,10361721,1747112
2023-05-13 08:25:04,10361721,1747112
2023-05-13 08:30:05,10361721,1747112
2023-05-13 08:35:05,10361721,1747112
2023-05-13 08:40:05,10361721,1747112
2023-05-13 08:45:05,10361721,1747112
2023-05-13 08:50:05,10361721,1747112
2023-05-13 08:55:04,10361721,1747112
2023-05-13 09:00:06,10361721,1747112
2023-05-13 09:05:04,10361721,1747112
2023-05-13 09:10:06,10361721,1747112
2023-05-13 09:15:04,10361721,1747112
2023-05-13 09:20:05,10361721,1747112
2023-05-13 09:25:05,10361721,1747112
2023-05-13 09:30:05,10361721,1747112
2023-05-13 09:35:04,10361721,1747112
2023-05-13 09:40:06,10361721,1747112
2023-05-13 09:45:04,10361721,1747112
2023-05-13 09:50:05,10361721,1747112
2023-05-13 09:55:04,10361721,1747112
2023-05-13 10:00:05,10361721,1747112
2023-05-13 10:05:04,10361721,1747112
2023-05-13 10:10:05,10361721,1747112
2023-05-13 10:15:04,10361721,1747112
2023-05-13 10:20:06,10361721,1747112
2023-05-13 10:25:04,10361721,1747112
2023-05-13 10:30:05,10361721,1747112
2023-05-13 10:35:05,10361721,1747112
2023-05-13 10:40:05,10361721,1747112
2023-05-13 10:45:05,10361721,1747112
2023-05-13 10:50:05,10361721,1747112
2023-05-13 10:55:04,10361721,1747112
2023-05-13 11:00:05,10361721,1747112
2023-05-13 11:05:04,10361721,1747112
2023-05-13 11:10:06,10361721,1747178
2023-05-13 11:15:04,10361721,1747178
2023-05-13 11:20:06,10361721,1747178
2023-05-13 11:25:04,10361721,1747178
2023-05-13 11:30:06,10361721,1747178
2023-05-13 11:35:04,10361721,1747178
2023-05-13 11:40:06,10361721,1747178
2023-05-13 11:45:05,10361721,1747178
2023-05-13 11:50:05,10361721,1747178
2023-05-13 11:55:04,10361721,1747178
2023-05-13 12:00:05,10361721,1747178
2023-05-13 12:05:05,10361721,1747178
2023-05-13 12:10:05,10361721,1747178
2023-05-13 12:15:05,10361721,1747178
2023-05-13 12:20:05,10361721,1747178
2023-05-13 12:25:04,10361721,1747178
2023-05-13 12:30:05,10361721,1747178
2023-05-13 12:35:04,10361721,1747244
2023-05-13 12:40:05,10361721,1747244
2023-05-13 12:45:04,10361721,1747244
2023-05-13 12:50:05,10361721,1747244
2023-05-13 12:55:04,10361721,1747244
2023-05-13 13:00:05,10361721,1747244
2023-05-13 13:05:04,10361721,1747244
2023-05-13 13:10:05,10361721,1747244
2023-05-13 13:15:05,10361721,1747244
2023-05-13 13:20:05,10361721,1747244
2023-05-13 13:25:05,10361721,1747244
2023-05-13 13:30:05,10361721,1747244
2023-05-13 13:35:05,10361721,1747244
2023-05-13 13:40:05,10361721,1747244
2023-05-13 13:45:04,10361721,1747244
2023-05-13 13:50:05,10361721,1747244
2023-05-13 13:55:04,10361721,1747244
2023-05-13 14:00:05,10361721,1747244
2023-05-13 14:05:04,10361721,1747244
2023-05-13 14:10:05,10361721,1747244
2023-05-13 14:15:04,10361721,1747244
2023-05-13 14:20:06,10361721,1747310
2023-05-13 14:25:04,10361721,1747310
2023-05-13 14:30:06,10361721,1747310
2023-05-13 14:35:04,10361721,1747310
2023-05-13 14:40:05,10361721,1747310
2023-05-13 14:45:05,10361721,1747376
2023-05-13 14:50:05,10361721,1747376
2023-05-13 14:55:04,10361721,1747376
2023-05-13 15:00:06,10361721,1747376
2023-05-13 15:05:04,10361721,1747376
2023-05-13 15:10:06,10361721,1747376
2023-05-13 15:15:04,10361721,1747376
2023-05-13 15:20:05,10361721,1747376
2023-05-13 15:25:05,10361721,1747376
2023-05-13 15:30:05,10361721,1747376
2023-05-13 15:35:04,10361721,1747376
2023-05-13 15:40:05,10361721,1747376
2023-05-13 15:45:04,10361721,1747376
2023-05-13 15:50:06,10361721,1747376
2023-05-13 15:55:04,10361721,1747376
2023-05-13 16:00:06,10361721,1747442
2023-05-13 16:05:04,10361721,1747442
2023-05-13 16:10:06,10361721,1747508
2023-05-13 16:15:04,10361721,1747508
2023-05-13 16:20:05,10361721,1747508
2023-05-13 16:25:04,10361721,1747508
2023-05-13 16:30:05,10361721,1747508
2023-05-13 16:35:04,10361721,1747508
2023-05-13 16:40:05,10361721,1747508
2023-05-13 16:45:05,10361721,1747508
2023-05-13 16:50:05,10361721,1747508
2023-05-13 16:55:05,10361721,1747508
2023-05-13 17:00:05,10361721,1747508
2023-05-13 17:05:04,10361721,1747508
2023-05-13 17:10:06,10361721,1747508
2023-05-13 17:15:04,10361721,1747508
2023-05-13 17:20:05,10361721,1747508
2023-05-13 17:25:05,10361721,1747508
2023-05-13 17:30:05,10361721,1747508
2023-05-13 17:35:04,10361721,1747508
2023-05-13 17:40:05,10361721,1747508
2023-05-13 17:45:05,10361721,1747508
2023-05-13 17:50:05,10361721,1747508
2023-05-13 17:55:05,10361721,1747574
2023-05-13 18:00:05,10361721,1747574
2023-05-13 18:05:04,10361721,1747574
2023-05-13 18:10:05,10361721,1747574
2023-05-13 18:15:04,10361721,1747574
2023-05-13 18:20:05,10361721,1747574
2023-05-13 18:25:04,10361721,1747574
2023-05-13 18:30:05,10361721,1747574
2023-05-13 18:35:04,10361721,1747574
2023-05-13 18:40:05,10361721,1747574
2023-05-13 18:45:05,10361721,1747574
2023-05-13 18:50:05,10361721,1747574
2023-05-13 18:55:04,10361721,1747574
2023-05-13 19:00:05,10361721,1747574
2023-05-13 19:05:04,30115585,2981841
2023-05-13 19:10:05,30132444,3001737
2023-05-13 19:15:04,30132444,3001737
2023-05-13 19:20:05,30132444,3001737
2023-05-13 19:25:05,30132444,3001737
2023-05-13 19:30:05,30132444,3001737
2023-05-13 19:35:05,30132444,3001737
2023-05-13 19:40:05,30132444,3001737
2023-05-13 19:45:04,30132444,3001737
2023-05-13 19:50:06,30132444,3001803
