datetime,in,out
2023-05-21 00:00:06,37334001,3614652
2023-05-21 00:05:04,37334001,3614652
2023-05-21 00:10:06,37334001,3614652
2023-05-21 00:15:04,37334001,3614652
2023-05-21 00:20:06,37334001,3614652
2023-05-21 00:25:04,37334001,3614652
2023-05-21 00:30:05,37334001,3614652
2023-05-21 00:35:05,37334001,3614652
2023-05-21 00:40:05,37334001,3614652
2023-05-21 00:45:04,37334001,3614652
2023-05-21 00:50:06,37334349,3614952
2023-05-21 00:55:04,37334349,3614952
2023-05-21 01:00:05,37334349,3614952
2023-05-21 01:05:05,37334349,3614952
2023-05-21 01:10:05,37334349,3614952
2023-05-21 01:15:04,37334349,3614952
2023-05-21 01:20:06,37334349,3614952
2023-05-21 01:25:05,37334349,3614952
2023-05-21 01:30:05,37334349,3614952
2023-05-21 01:35:04,37334349,3614952
2023-05-21 01:40:05,37334349,3615018
2023-05-21 01:45:04,37334349,3615018
2023-05-21 01:50:06,37334349,3615018
2023-05-21 01:55:04,37334349,3615018
2023-05-21 02:00:05,37334349,3615018
2023-05-21 02:05:05,37334349,3615018
2023-05-21 02:10:05,37334349,3615018
2023-05-21 02:15:05,37334349,3615018
2023-05-21 02:20:05,37334349,3615018
2023-05-21 02:25:04,37334349,3615018
2023-05-21 02:30:06,37334349,3615018
2023-05-21 02:35:04,37334349,3615018
2023-05-21 02:40:06,37334349,3615018
2023-05-21 02:45:05,37334349,3615018
2023-05-21 02:50:06,37334349,3615018
2023-05-21 02:55:05,37334349,3615018
2023-05-21 03:00:05,37334349,3615018
2023-05-21 03:05:05,37334349,3615018
2023-05-21 03:10:05,37334349,3615018
2023-05-21 03:15:05,37334349,3615018
2023-05-21 03:20:06,37334349,3615018
2023-05-21 03:25:04,37334349,3615018
2023-05-21 03:30:05,37334349,3615018
2023-05-21 03:35:05,37334349,3615018
2023-05-21 03:40:05,37334349,3615018
2023-05-21 03:45:05,37334349,3615018
2023-05-21 03:50:05,37334349,3615018
2023-05-21 03:55:04,37334349,3615018
2023-05-21 04:00:05,37334349,3615018
2023-05-21 04:05:05,37334349,3615018
2023-05-21 04:10:05,37334349,3615018
2023-05-21 04:15:04,37334349,3615018
2023-05-21 04:20:06,37334349,3615018
2023-05-21 04:25:04,37334349,3615018
2023-05-21 04:30:05,37334349,3615018
2023-05-21 04:35:04,37334349,3615018
2023-05-21 04:40:06,37334349,3615018
2023-05-21 04:45:04,37334349,3615018
2023-05-21 04:50:06,37334349,3615018
2023-05-21 04:55:05,37334349,3615018
2023-05-21 05:00:05,37334349,3615018
2023-05-21 05:05:04,37334349,3615018
2023-05-21 05:10:06,37334349,3615018
2023-05-21 05:15:05,37334349,3615018
2023-05-21 05:20:05,37334349,3615018
2023-05-21 05:25:05,37334349,3615018
2023-05-21 05:30:06,37334349,3615018
2023-05-21 05:35:04,37334349,3615018
2023-05-21 05:40:06,37334349,3615018
2023-05-21 05:45:04,37334349,3615018
2023-05-21 05:50:06,37335405,3616356
2023-05-21 05:55:05,37335597,3616572
2023-05-21 06:00:05,37335597,3616572
2023-05-21 06:05:05,37335597,3616572
2023-05-21 06:10:05,37335597,3616572
2023-05-21 06:15:05,37335597,3616572
2023-05-21 06:20:05,37335597,3616572
2023-05-21 06:25:04,37335597,3616572
2023-05-21 06:30:06,37335597,3616572
2023-05-21 06:35:05,37335597,3616572
2023-05-21 06:40:05,37335597,3616572
2023-05-21 06:45:05,37335597,3616572
2023-05-21 06:50:06,37335597,3616572
2023-05-21 06:55:04,37335597,3616572
2023-05-21 07:00:06,37335597,3616572
2023-05-21 07:05:04,37335597,3616572
2023-05-21 07:10:05,37335597,3616572
2023-05-21 07:15:04,37335597,3616572
2023-05-21 07:20:06,37335597,3616572
2023-05-21 07:25:05,37335597,3616572
2023-05-21 07:30:05,37335597,3616572
2023-05-21 07:35:05,37335597,3616572
2023-05-21 07:40:05,37335597,3616572
2023-05-21 07:45:04,37335597,3616572
2023-05-21 07:50:05,37335597,3616572
2023-05-21 07:55:04,37335597,3616572
2023-05-21 08:00:06,37335597,3616572
2023-05-21 08:05:05,37335597,3616572
2023-05-21 08:10:05,37335597,3616572
2023-05-21 08:15:05,37335597,3616572
2023-05-21 08:20:05,37335597,3616572
2023-05-21 08:25:04,37335597,3616572
2023-05-21 08:30:06,37335597,3616572
2023-05-21 08:35:04,37335597,3616572
2023-05-21 08:40:06,37335597,3616572
2023-05-21 08:45:05,37335597,3616572
2023-05-21 08:50:05,37335597,3616572
2023-05-21 08:55:05,37335597,3616572
2023-05-21 09:00:05,37335597,3616572
2023-05-21 09:05:05,37335597,3616572
2023-05-21 09:10:05,37335597,3616572
2023-05-21 09:15:05,37335597,3616572
2023-05-21 09:20:05,37335597,3616572
2023-05-21 09:25:05,37335597,3616572
2023-05-21 09:30:05,37335597,3616572
2023-05-21 09:35:05,37335597,3616572
2023-05-21 09:40:05,37335597,3616572
2023-05-21 09:45:05,37335597,3616572
2023-05-21 09:50:05,37335597,3616572
2023-05-21 09:55:04,37335597,3616572
2023-05-21 10:00:06,37335597,3616572
2023-05-21 10:05:04,37335597,3616572
2023-05-21 10:10:06,37335597,3616572
2023-05-21 10:15:05,37335597,3616572
2023-05-21 10:20:05,37335597,3616572
2023-05-21 10:25:04,37335597,3616572
2023-05-21 10:30:05,37335597,3616572
2023-05-21 10:35:04,37335597,3616572
2023-05-21 10:40:05,37335597,3616572
2023-05-21 10:45:05,37335597,3616572
2023-05-21 10:50:05,37335597,3616572
2023-05-21 10:55:05,37335597,3616572
2023-05-21 11:00:05,37335597,3616572
2023-05-21 11:05:04,37335597,3616572
2023-05-21 11:10:06,37335597,3616572
2023-05-21 11:15:04,37335597,3616646
