datetime,in,out
2023-05-08 00:00:04,5887871,5666127
2023-05-08 00:05:04,5887871,5666127
2023-05-08 00:10:04,5887871,5666127
2023-05-08 00:15:04,5887871,5666127
2023-05-08 00:20:04,5887871,5666127
2023-05-08 00:25:04,5887871,5666127
2023-05-08 00:30:04,5887871,5666391
2023-05-08 00:35:04,5887871,5666391
2023-05-08 00:40:04,5887871,5666391
2023-05-08 00:45:03,5887871,5666391
2023-05-08 00:50:04,5887871,5666391
2023-05-08 00:55:04,5887871,5666391
2023-05-08 01:00:04,5887871,5666391
2023-05-08 01:05:03,5887871,5666391
2023-05-08 01:10:04,5887871,5666391
2023-05-08 01:15:04,5887871,5666391
2023-05-08 01:20:04,5887871,5666391
2023-05-08 01:25:03,5887871,5666391
2023-05-08 01:30:04,5887871,5666391
2023-05-08 01:35:04,5887871,5666391
2023-05-08 01:40:04,5887871,5666391
2023-05-08 01:45:03,5887871,5666391
2023-05-08 01:50:03,5887871,5666391
2023-05-08 01:55:04,5887871,5666391
2023-05-08 02:00:04,5887871,5666391
2023-05-08 02:05:04,5887871,5666391
2023-05-08 02:10:03,5887871,5666391
2023-05-08 02:15:03,5887871,5666391
2023-05-08 02:20:04,5887871,5666391
2023-05-08 02:25:04,5887871,5666391
2023-05-08 02:30:03,5887871,5666457
2023-05-08 02:35:04,5887871,5666457
2023-05-08 02:40:04,5887871,5666457
2023-05-08 02:45:04,5887871,5666457
2023-05-08 02:50:03,5887871,5666457
2023-05-08 02:55:03,5887871,5666457
2023-05-08 03:00:04,5887871,5666457
2023-05-08 03:05:04,5887871,5666457
2023-05-08 03:10:04,5887871,5666457
2023-05-08 03:15:03,5887871,5666457
2023-05-08 03:20:03,5887871,5666457
2023-05-08 03:25:04,5887871,5666457
2023-05-08 03:30:04,5887871,5666457
2023-05-08 03:35:04,5887871,5666457
2023-05-08 03:40:04,5887871,5666457
2023-05-08 03:45:04,5887871,5666457
2023-05-08 03:50:04,5887871,5666457
2023-05-08 03:55:04,5887871,5666457
2023-05-08 04:00:04,5887871,5666457
2023-05-08 04:05:04,5887871,5666457
2023-05-08 04:10:04,5887871,5666457
2023-05-08 04:15:03,5887871,5666457
2023-05-08 04:20:04,5887871,5666457
2023-05-08 04:25:04,5887871,5666457
2023-05-08 04:30:04,5887871,5666457
2023-05-08 04:35:04,5887871,5666457
2023-05-08 04:40:04,5887871,5666457
2023-05-08 04:45:04,5887871,5666457
2023-05-08 04:50:04,5887871,5666457
2023-05-08 04:55:04,5887871,5666457
2023-05-08 05:00:04,5887871,5666457
2023-05-08 05:05:04,5887871,5666457
2023-05-08 05:10:04,5887871,5666457
2023-05-08 05:15:04,5887871,5666457
2023-05-08 05:20:03,5887871,5666457
2023-05-08 05:25:03,5887871,5666457
2023-05-08 05:30:04,5887871,5666457
2023-05-08 05:35:04,5887871,5666457
2023-05-08 05:40:04,5887871,5666457
2023-05-08 05:45:04,5887871,5666457
2023-05-08 05:50:04,5887871,5666457
2023-05-08 05:55:03,5887871,5666457
2023-05-08 06:00:04,5887871,5666457
2023-05-08 06:05:04,5887871,5666457
2023-05-08 06:10:04,5887871,5666457
2023-05-08 06:15:03,5887871,5666457
2023-05-08 06:20:04,5887871,5666457
2023-05-08 06:25:04,5887871,5666457
2023-05-08 06:30:04,5887871,5666457
2023-05-08 06:35:04,5887871,5666457
2023-05-08 06:40:03,5887871,5666457
2023-05-08 06:45:04,5887871,5666457
2023-05-08 06:50:04,5887871,5666457
2023-05-08 06:55:04,5887871,5666457
2023-05-08 07:00:04,5887871,5666457
2023-05-08 07:05:04,5887871,5666457
2023-05-08 07:10:04,5887871,5666457
2023-05-08 07:15:03,5887871,5666457
2023-05-08 07:20:03,5887871,5666457
2023-05-08 07:25:04,5887871,5666457
2023-05-08 07:30:04,5887871,5666457
2023-05-08 07:35:04,5887871,5666457
2023-05-08 07:40:03,5887871,5666457
2023-05-08 07:45:03,5887871,5666597
2023-05-08 07:50:04,5887871,5666597
2023-05-08 07:55:04,5887871,5666597
2023-05-08 08:00:04,5887871,5666729
2023-05-08 08:05:04,5887871,5666729
2023-05-08 08:10:04,5887871,5666729
2023-05-08 08:15:04,5887871,5666729
2023-05-08 08:20:03,5887871,5666729
2023-05-08 08:25:03,5887871,5666729
2023-05-08 08:30:04,5887871,5666803
2023-05-08 08:35:04,5887871,5666803
2023-05-08 08:40:03,5887871,5666803
2023-05-08 08:45:03,5887871,5666803
2023-05-08 08:50:04,5887871,5666803
2023-05-08 08:55:04,5887871,5666943
2023-05-08 09:00:04,5887871,5666943
2023-05-08 09:05:04,5887871,5666943
2023-05-08 09:10:04,5887871,5666943
2023-05-08 09:15:04,5887871,5666943
2023-05-08 09:20:04,5887871,5666943
2023-05-08 09:25:03,5887871,5667009
2023-05-08 09:30:04,5887871,5667009
2023-05-08 09:35:04,5887871,5667075
2023-05-08 09:40:04,5887871,5667207
2023-05-08 09:45:04,5887871,5667207
2023-05-08 09:50:04,5887871,5667273
2023-05-08 09:55:03,5887871,5667273
2023-05-08 10:00:03,5887871,5667273
2023-05-08 10:05:03,5887871,5667273
2023-05-08 10:10:04,5887871,5667413
2023-05-08 10:15:04,5887871,5667413
2023-05-08 10:20:04,5887871,5667413
2023-05-08 10:25:04,5887871,5667413
2023-05-08 10:30:04,5887871,5667413
2023-05-08 10:35:04,5887871,5667413
2023-05-08 10:40:03,5887871,5667413
2023-05-08 10:45:03,5887871,5667479
2023-05-08 10:50:04,5887871,5667479
2023-05-08 10:55:04,5887871,5667479
2023-05-08 11:00:04,5887871,5667479
2023-05-08 11:05:03,5887871,5667611
2023-05-08 11:10:04,5887871,5667611
2023-05-08 11:15:04,5887871,5667611
2023-05-08 11:20:04,5887871,5667677
2023-05-08 11:25:03,5887871,5667677
2023-05-08 11:30:03,5887871,5667743
2023-05-08 11:35:03,5887871,5667743
2023-05-08 11:40:03,5887871,5667743
2023-05-08 11:45:04,5887871,5667743
2023-05-08 11:50:04,5887871,5667743
2023-05-08 11:55:04,5887871,5667743
2023-05-08 12:00:04,5887871,5667817
2023-05-08 12:05:04,5887871,5667817
2023-05-08 12:10:04,5887871,5667817
2023-05-08 12:15:03,5887871,5667817
2023-05-08 12:20:03,5887871,5667817
2023-05-08 12:25:03,5887871,5667883
2023-05-08 12:30:04,5887871,5667883
2023-05-08 12:35:04,5887871,5667949
2023-05-08 12:40:04,5887871,5667949
2023-05-08 12:45:04,5887871,5668015
2023-05-08 12:50:04,5887871,5668015
2023-05-08 12:55:03,5887871,5668015
2023-05-08 13:00:04,5887871,5668081
2023-05-08 13:05:04,5887871,5668081
2023-05-08 13:10:04,5887871,5668081
2023-05-08 13:15:04,5887871,5668081
2023-05-08 13:20:04,5887871,5668081
2023-05-08 13:25:03,5887871,5668147
2023-05-08 13:30:03,5887871,5668287
2023-05-08 13:35:04,5887871,5668287
2023-05-08 13:40:04,5887871,5668353
2023-05-08 13:45:04,5887871,5668353
2023-05-08 13:50:03,5887871,5668419
2023-05-08 13:55:03,5887871,5668419
2023-05-08 14:00:02,5887871,5668419
2023-05-08 14:05:02,5887871,5668419
2023-05-08 14:10:03,5887871,5668419
2023-05-08 14:15:04,5887871,5668485
2023-05-08 14:20:03,5887871,5668485
2023-05-08 14:25:03,5887871,5668485
2023-05-08 14:30:04,5887871,5668625
2023-05-08 14:35:04,5887871,5668625
2023-05-08 14:40:04,5887871,5668625
2023-05-08 14:45:03,5887871,5668625
2023-05-08 14:50:04,5887871,5668691
2023-05-08 14:55:04,5887871,5668691
2023-05-08 15:00:04,5887871,5668691
2023-05-08 15:05:04,5887871,5668691
2023-05-08 15:10:03,5887871,5668831
2023-05-08 15:15:03,5887871,5668831
2023-05-08 15:20:04,5887871,5668831
2023-05-08 15:25:04,5887871,5668831
2023-05-08 15:30:04,5887871,5668831
2023-05-08 15:35:04,5887871,5668897
2023-05-08 15:40:03,5887871,5668897
2023-05-08 15:45:04,5887871,5668897
2023-05-08 15:50:04,5887871,5668897
2023-05-08 15:55:04,5887871,5668971
2023-05-08 16:00:04,5887871,5668971
2023-05-08 16:05:04,5887871,5669045
2023-05-08 16:10:04,5887871,5669111
