datetime,in,out
2023-05-14 00:00:05,655390222,325863292
2023-05-14 00:05:04,655390222,325863292
2023-05-14 00:10:05,657973272,326831925
2023-05-14 00:15:05,657973272,326831925
2023-05-14 00:20:05,657973272,326831925
2023-05-14 00:25:04,660544775,327120421
2023-05-14 00:30:05,660591519,327456104
2023-05-14 00:35:04,660591519,327456104
2023-05-14 00:40:05,660591519,327456104
2023-05-14 00:45:04,660591519,327456104
2023-05-14 00:50:05,660591519,327456104
2023-05-14 00:55:04,660591519,327456104
2023-05-14 01:00:05,660591519,327456104
2023-05-14 01:05:04,660591519,327456104
2023-05-14 01:10:05,660591519,327456104
2023-05-14 01:15:05,660591519,327456104
2023-05-14 01:20:04,660591519,327456104
2023-05-14 01:25:04,660591519,327456104
2023-05-14 01:30:05,660591519,327456104
2023-05-14 01:35:05,660591519,327456104
2023-05-14 01:40:05,660591519,327456104
2023-05-14 01:45:04,660591519,327456104
2023-05-14 01:50:04,660591519,327456104
2023-05-14 01:55:04,660591519,327456104
2023-05-14 02:00:05,660591519,327456104
2023-05-14 02:05:04,660591519,327456104
2023-05-14 02:10:06,660591519,327456104
2023-05-14 02:15:04,660591519,327456104
2023-05-14 02:20:05,660591519,327456104
2023-05-14 02:25:04,660591519,327456104
2023-05-14 02:30:05,660591519,327456170
2023-05-14 02:35:04,660591519,327456170
2023-05-14 02:40:05,660591519,327456170
2023-05-14 02:45:04,660591519,327456170
2023-05-14 02:50:05,660591519,327456170
2023-05-14 02:55:04,660591519,327456170
2023-05-14 03:00:06,660591519,327456170
2023-05-14 03:05:04,660591519,327456170
2023-05-14 03:10:05,660591519,327456170
2023-05-14 03:15:04,660591519,327456170
2023-05-14 03:20:05,660591519,327456170
2023-05-14 03:25:04,660591519,327456170
2023-05-14 03:30:05,660599865,327466418
2023-05-14 03:35:04,660600867,327467624
2023-05-14 03:40:06,660600867,327467624
2023-05-14 03:45:04,660600867,327467624
2023-05-14 03:50:05,660600867,327467624
2023-05-14 03:55:04,660600867,327467624
2023-05-14 04:00:06,660600867,327467624
