datetime,in,out
2023-05-15 00:00:03,212194,1087416
2023-05-15 00:05:03,212194,1087416
2023-05-15 00:10:04,212194,1087416
2023-05-15 00:15:04,212194,1087556
2023-05-15 00:20:04,212194,1087556
2023-05-15 00:25:03,212194,1087556
2023-05-15 00:30:04,212194,1087556
2023-05-15 00:35:04,212194,1087556
2023-05-15 00:40:04,212194,1087556
2023-05-15 00:45:03,212194,1087556
2023-05-15 00:50:04,212194,1087556
2023-05-15 00:55:04,212194,1087556
2023-05-15 01:00:04,212194,1087630
2023-05-15 01:05:04,212194,1087630
2023-05-15 01:10:04,212194,1087696
2023-05-15 01:15:04,212194,1087762
2023-05-15 01:20:03,212194,1087762
2023-05-15 01:25:03,212194,1087762
2023-05-15 01:30:04,212194,1087762
2023-05-15 01:35:04,212194,1087762
2023-05-15 01:40:03,212194,1087762
2023-05-15 01:45:04,212194,1087762
2023-05-15 01:50:03,212194,1087762
2023-05-15 01:55:04,212194,1087762
2023-05-15 02:00:03,212194,1087762
2023-05-15 02:05:03,212194,1087762
2023-05-15 02:10:04,212194,1087762
2023-05-15 02:15:03,212194,1087762
2023-05-15 02:20:04,212194,1087762
2023-05-15 02:25:04,212194,1087762
2023-05-15 02:30:04,212194,1087762
2023-05-15 02:35:04,212194,1087762
2023-05-15 02:40:03,212194,1087762
2023-05-15 02:45:04,212194,1087762
2023-05-15 02:50:03,212194,1087762
2023-05-15 02:55:04,212194,1087762
2023-05-15 03:00:03,212194,1087762
2023-05-15 03:05:03,212194,1087828
2023-05-15 03:10:04,212194,1087960
2023-05-15 03:15:04,212194,1087960
2023-05-15 03:20:03,212194,1087960
2023-05-15 03:25:03,212194,1087960
2023-05-15 03:30:04,212194,1087960
2023-05-15 03:35:03,212194,1087960
2023-05-15 03:40:04,212194,1087960
2023-05-15 03:45:04,212194,1087960
2023-05-15 03:50:03,212194,1087960
2023-05-15 03:55:03,212194,1087960
2023-05-15 04:00:04,212194,1087960
2023-05-15 04:05:03,212194,1087960
2023-05-15 04:10:04,212194,1087960
2023-05-15 04:15:03,212194,1087960
2023-05-15 04:20:04,212194,1087960
2023-05-15 04:25:04,212194,1087960
2023-05-15 04:30:04,212194,1087960
2023-05-15 04:35:03,212194,1087960
2023-05-15 04:40:04,212194,1087960
2023-05-15 04:45:03,212194,1087960
2023-05-15 04:50:04,212194,1087960
2023-05-15 04:55:04,212194,1088026
2023-05-15 05:00:04,212194,1088026
2023-05-15 05:05:03,212194,1088026
2023-05-15 05:10:04,212194,1088158
2023-05-15 05:15:03,212194,1088158
2023-05-15 05:20:04,212194,1088158
2023-05-15 05:25:04,212194,1088158
2023-05-15 05:30:03,212194,1088158
2023-05-15 05:35:03,212194,1088158
2023-05-15 05:40:04,212194,1088158
2023-05-15 05:45:04,212194,1088158
2023-05-15 05:50:04,212194,1088158
2023-05-15 05:55:03,212194,1088158
2023-05-15 06:00:04,212194,1088158
2023-05-15 06:05:03,212194,1088158
2023-05-15 06:10:04,212194,1088158
2023-05-15 06:15:04,212194,1088158
2023-05-15 06:20:04,212194,1088158
2023-05-15 06:25:04,212194,1088158
2023-05-15 06:30:03,212194,1088158
2023-05-15 06:35:03,212194,1088158
2023-05-15 06:40:04,212194,1088158
2023-05-15 06:45:04,212194,1088158
2023-05-15 06:50:04,212194,1088158
2023-05-15 06:55:03,212194,1088158
2023-05-15 07:00:04,212194,1088158
2023-05-15 07:05:03,212194,1088158
2023-05-15 07:10:04,212194,1088158
