datetime,rm,ru,rf,rs,rb,sz,ss,cm
2023-05-17 00:00:02,4046680,640084,4203736,229948,44,4063228,3563652,1642052
2023-05-17 00:05:02,4046680,622048,4185700,230004,44,4063228,3563652,1642384
2023-05-17 00:10:02,4046680,622452,4186104,230004,44,4063228,3563652,1642508
2023-05-17 00:15:01,4046680,580788,4144440,238140,44,4063228,3563652,1653828
2023-05-17 00:20:02,4046680,581392,4145044,238140,44,4063228,3563652,1653980
2023-05-17 00:25:02,4046680,580356,4144008,238140,44,4063228,3563652,1654168
2023-05-17 00:30:01,4046680,580564,4144216,238140,44,4063228,3563652,1654292
2023-05-17 00:35:01,4046680,580248,4143900,238140,44,4063228,3563652,1654440
2023-05-17 00:40:02,4046680,580056,4143708,238140,44,4063228,3563652,1654548
2023-05-17 00:45:02,4046680,579680,4143332,238140,44,4063228,3563652,1654684
2023-05-17 00:50:02,4046680,579464,4143116,238196,44,4063228,3563652,1654864
2023-05-17 00:55:01,4046680,571676,4135328,246332,44,4063228,3563652,1663112
2023-05-17 01:00:02,4046680,570036,4133688,246332,44,4063228,3563652,1663284
2023-05-17 01:05:02,4046680,566852,4130504,246332,44,4063228,3563652,1666352
2023-05-17 01:10:02,4046680,567116,4130768,246332,44,4063228,3563652,1666384
2023-05-17 01:15:01,4046680,554468,4118120,246332,44,4063228,3563652,1666532
2023-05-17 01:20:02,4046680,586088,4149740,205372,44,4063228,3563652,1625692
2023-05-17 01:25:01,4046680,586404,4150056,205372,44,4063228,3563652,1625824
2023-05-17 01:30:02,4046680,586392,4150044,205372,44,4063228,3563652,1625936
2023-05-17 01:35:01,4046680,585716,4149368,205372,44,4063228,3563652,1626068
2023-05-17 01:40:02,4046680,587172,4150824,205372,44,4063228,3563652,1626180
2023-05-17 01:45:02,4046680,585840,4149492,205372,44,4063228,3563652,1626296
2023-05-17 01:50:02,4046680,585660,4149312,205372,44,4063228,3563652,1626404
2023-05-17 01:55:02,4046680,585576,4149228,205372,44,4063228,3563652,1626524
2023-05-17 02:00:02,4046680,585468,4149120,205372,44,4063228,3563652,1626640
2023-05-17 02:05:02,4046680,574556,4138208,213564,44,4063228,3563652,1637840
2023-05-17 02:10:01,4046680,573784,4137436,213564,44,4063228,3563652,1637904
2023-05-17 02:15:02,4046680,573944,4137596,213564,44,4063228,3563652,1638040
2023-05-17 02:20:01,4046680,574196,4137848,213564,44,4063228,3563652,1638084
